"Farbe";"Gemeinde";"Ort";"Stadtteil";"Stadtviertel";"Straße";"Objekt";"Objekt Nr.";"Alter";"Baum ID";"Bemerkungen";"Deutsche Bezeichnung";"Geburtsjahr";"Gefällt";"Höhe [m]";"Inspektor";"Kronendurchmesser [m]";"Nr.";"Pflanzdatum";"Stammumfang [m]";"Status";"Tage bis zur Insp.";"Verkehrssicherheit";"Wissenschaftliche Bezeichnung";"letzte Inspektion";"Anteil an der Fläche [%]";"Anteil an der Fläche [m²]";"Fläche [m²]";"Objektbeschreibung";"Objektname";"Objekttyp";"eigener Anteil an der Fläche [%]"
"65535";"Heilbronn";"Heilbronn";"HN Innenstadt";"Stadtgarten";"Allee";"";"";"33";"BKA-50824";"";"Japanischer Schnurbaum";"1986";"";"5-10m";"Herr Hetzel - HN67038";8,000;"50824";"";1,090;"Bestand";-73;"";"Sophora japonica";"1528450986";0;0;0;"Baum-ID:  BKA-50824
Baumart: Laubbaum
Sophora japonica
Japanischer Schnurbaum
Stammumfang:   1.09m
Kronendurchmesser:  8m
Höhe: 5-10m
letzte Änderung: 08.06.2018";"Baum: BKA-50824";"Baum";0
"65535";"Heilbronn";"Heilbronn";"HN Innenstadt";"Stadtgarten";"Allee";"";"";"20";"BKA-50823";"";"Japanischer Schnurbaum";"1999";"";"5-10m";"Herr Hetzel - HN67038";6,000;"50823";"";0,860;"Bestand";-73;"";"Sophora japonica";"1528451122";0;0;0;"Baum-ID:  BKA-50823
Baumart: Laubbaum
Sophora japonica
Japanischer Schnurbaum
Stammumfang:   .86m
Kronendurchmesser:  6m
Höhe: 5-10m
letzte Änderung: 08.06.2018";"Baum: BKA-50823";"Baum";0
"65535";"Heilbronn";"Heilbronn";"HN Innenstadt";"Stadtgarten";"Allee";"";"";"78";"BKA-50837";"";"Gewöhnliche Eibe";"1941";"";"bis-5m";"GTI-Administrator";5,000;"50837";"";1,279;"Bestand";3195;"";"Taxus baccata";"978303600";0;0;0;"Baum-ID:  BKA-50837
Baumart: Nadelbaum
Taxus baccata
Gewöhnliche Eibe
Stammumfang:   1.279m
Kronendurchmesser:  5m
Höhe: bis-5m
letzte Änderung: 22.12.2005";"Baum: BKA-50837";"Baum";0
"65535";"Heilbronn";"Heilbronn";"HN Innenstadt";"Stadtgarten";"Allee";"";"";"75";"BKA-50836";"";"Gewöhnliche Kiefer";"1944";"";"bis-5m";"GTI-Administrator";4,000;"50836";"";1,030;"Bestand";3195;"";"Pinus sylvestris";"978303600";0;0;0;"Baum-ID:  BKA-50836
Baumart: Nadelbaum
Pinus sylvestris
Gewöhnliche Kiefer
Stammumfang:   1.03m
Kronendurchmesser:  4m
Höhe: bis-5m
letzte Änderung: 29.02.2012";"Baum: BKA-50836";"Baum";0
"65535";"Heilbronn";"Heilbronn";"HN Innenstadt";"Stadtgarten";"Allee";"";"";"20";"BKA-50822";"";"Japanischer Schnurbaum";"1999";"";"5-10m";"Herr Hetzel - HN67038";7,000;"50822";"";0,920;"Bestand";-73;"";"Sophora japonica";"1528451233";0;0;0;"Baum-ID:  BKA-50822
Baumart: Laubbaum
Sophora japonica
Japanischer Schnurbaum
Stammumfang:   .92m
Kronendurchmesser:  7m
Höhe: 5-10m
letzte Änderung: 08.06.2018";"Baum: BKA-50822";"Baum";0
"65535";"Heilbronn";"Heilbronn";"HN Innenstadt";"Stadtgarten";"Allee";"";"";"20";"BKA-50821";"";"Japanischer Schnurbaum";"1999";"";"5-10m";"Herr Hetzel - HN67038";7,000;"50821";"";0,830;"Bestand";-73;"";"Sophora japonica";"1528451359";0;0;0;"Baum-ID:  BKA-50821
Baumart: Laubbaum
Sophora japonica
Japanischer Schnurbaum
Stammumfang:   .83m
Kronendurchmesser:  7m
Höhe: 5-10m
letzte Änderung: 08.06.2018";"Baum: BKA-50821";"Baum";0
"65535";"Heilbronn";"Heilbronn";"HN Innenstadt";"Stadtgarten";"Allee";"";"";"61";"BKA-50834";"";"Säulen-Eiche";"1958";"";"10-15m";"GTI-Administrator";4,000;"50834";"";1,181;"Bestand";3195;"";"Quercus robur `Fastigata`";"978303600";0;0;0;"Baum-ID:  BKA-50834
Baumart: Laubbaum
Quercus robur `Fastigata`
Säulen-Eiche
Stammumfang:   1.181m
Kronendurchmesser:  4m
Höhe: 10-15m
letzte Änderung: 22.12.2005";"Baum: BKA-50834";"Baum";0
"65535";"Heilbronn";"Heilbronn";"HN Innenstadt";"Innenstadt";"Allee";"";"";"23";"BKA~BAUM-5322";"";"Winterlinde `Greenspire`";"1996";"";"5-10m";"Herr Hetzel - HN67038";4,000;"73612";"01.01.2014";0,540;"Bestand";-73;"";"Tilia cordata `Greenspire`";"1528449468";0;0;0;"Baum-ID:  BKA~BAUM-5322
Baumart: Laubbaum
Tilia cordata `Greenspire`
Winterlinde `Greenspire`
Stammumfang:   .54m
Kronendurchmesser:  4m
Höhe: 5-10m
letzte Änderung: 08.06.2018";"Baum: BKA~BAUM-5322";"Baum";0
"65535";"Heilbronn";"Heilbronn";"HN Innenstadt";"Innenstadt";"Allee";"";"";"23";"BKA~BAUM-5321";"";"Winterlinde `Greenspire`";"1996";"";"5-10m";"Herr Hetzel - HN67038";4,000;"73611";"01.01.2014";0,540;"Bestand";-73;"";"Tilia cordata `Greenspire`";"1528449373";0;0;0;"Baum-ID:  BKA~BAUM-5321
Baumart: Laubbaum
Tilia cordata `Greenspire`
Winterlinde `Greenspire`
Stammumfang:   .54m
Kronendurchmesser:  4m
Höhe: 5-10m
letzte Änderung: 08.06.2018";"Baum: BKA~BAUM-5321";"Baum";0
"65535";"Heilbronn";"Heilbronn";"HN Innenstadt";"Innenstadt";"Allee";"";"";"25";"BKA~BAUM-5320";"";"Winterlinde `Greenspire`";"1994";"";"5-10m";"Herr Hetzel - HN67038";4,000;"73610";"01.01.2014";0,560;"Bestand";-73;"";"Tilia cordata `Greenspire`";"1528449257";0;0;0;"Baum-ID:  BKA~BAUM-5320
Baumart: Laubbaum
Tilia cordata `Greenspire`
Winterlinde `Greenspire`
Stammumfang:   .56m
Kronendurchmesser:  4m
Höhe: 5-10m
letzte Änderung: 08.06.2018";"Baum: BKA~BAUM-5320";"Baum";0
